Rank,Company_Name,Revenue_$M,Revenue_change%,Profits_$M,Profits_change%,Assets_$M,Market_Value_$M,Employees
396,Activision Blizzard,8803,8.9,2699,22.8,25056,62559.7,9800
397,Toll Brothers,8790,24.2,834,86.7,11538,5515.4,5100
398,Carlyle Group,8782,199.3,2975,754.3,21250,17427.5,1850
399,Graybar Electric,8767,20.7,262,115.4,3069,10500.0,8800
400,Ovintiv,8658,42.2,1416,0.0,14055,13987.5,1713
401,UFP Industries,8636,67.6,536,117.1,3245,4790.5,15000
402,Ulta Beauty,8631,40.3,986,460.7,4764,20837.8,28500
403,Constellation Brands,8615,3.3,1998,0.0,27105,43763.5,9300
404,Expedia Group,8598,65.4,12,0.0,21548,30476.5,14800
405,CommScope Holding,8587,1.8,-463,0.0,13260,1629.7,30000
406,Celanese,8537,51.0,1890,-4.8,11975,15434.1,8529
407,Global Payments,8524,14.8,966,65.2,45280,38545.6,25000
408,Owens Corning,8498,20.5,995,0.0,10015,9064.7,20000
409,Campbell Soup,8476,-6.3,1002,-38.5,11734,13446.9,14100
410,Huntsman,8453,40.3,1045,1.1,9392,8046.9,9000
411,Franklin Resources,8426,51.4,1831,129.2,24168,14019.3,10300
412,Avery Dennison,8408,20.6,740,33.1,7972,14327.4,36000
413,Masco,8375,14.9,410,-66.5,5575,12062.7,20000
414,CenterPoint Energy,8352,-5.5,1486,0.0,37679,19285.8,9418
415,Fifth Third Bancorp,8329,-0.9,2770,94.1,211116,29511.3,19112
416,WEC Energy Group,8316,14.8,1300,8.4,38989,31483.5,6938
417,S&P Global,8297,11.5,3024,29.3,15026,142343.5,22850
418,FM Global,8275,21.7,2842,64.1,32161,4500.0,5560
419,Polaris,8252,16.1,494,295.8,5048,6264.1,16000
420,Williams-Sonoma,8246,21.6,1126,65.5,4626,10376.0,16600
421,Autoliv,8230,10.5,435,132.7,7537,6691.1,58176
422,Arthur J. Gallagher,8209,17.2,907,10.7,33345,36598.6,39000
423,Motorola Solutions,8171,10.2,1245,31.2,12189,40555.9,18700
424,Zillow Group,8147,143.9,-528,0.0,10696,12287.1,8005
425,Opendoor Technologies,8021,210.5,-662,0.0,9506,5364.1,2816
426,J.M. Smucker,8003,2.6,876,12.4,16284,14686.4,7100
427,Realogy Holdings,7983,28.3,343,0.0,7210,1852.1,9748
428,Oshkosh,7953,16.0,409,26.2,6722,6703.7,15000
429,MasTec,7952,25.8,329,1.9,7121,6657.0,27000
430,GXO Logistics,7940,0.0,153,0.0,7271,8193.0,97500
431,APA,7928,84.0,973,0.0,13303,14332.3,2253
432,Boise Cascade,7926,44.8,713,307.2,2573,2740.4,6130
433,Dover,7907,18.3,1124,64.4,10404,22610.3,25000
434,Genworth Financial,7882,-9.0,904,407.9,99171,1917.9,2500
435,Bath & Body Works,7882,-33.5,1334,57.9,6026,11419.9,32850
436,Booz Allen Hamilton Holding,7859,5.3,609,26.2,5500,11705.4,27700
437,Coinbase Global,7839,513.7,3624,1024.4,21274,41670.4,3730
438,Zimmer Biomet Holdings,7836,11.6,402,0.0,23456,26772.3,19500
439,Westinghouse Air Brake Technologies,7822,3.5,558,34.7,18454,17819.4,25000
440,Zoetis,7776,16.5,2037,24.4,13900,89008.9,12100
441,Packaging Corp. of America,7730,16.1,841,82.5,7837,14628.1,15200
442,LPL Financial Holdings,7721,31.5,460,-2.7,7992,14608.8,5919
443,T. Rowe Price,7672,23.6,3083,29.9,12509,34442.6,7529
444,Fortune Brands Home & Security,7656,25.7,772,39.6,7936,9830.7,28056
445,Casey's General Stores,7654,-5.6,313,18.6,4460,7354.4,27583
446,A-Mark Precious Metals,7613,39.4,160,423.2,1192,890.5,347
447,Hess,7583,57.8,559,0.0,20515,33155.2,1545
448,Vertex Pharmaceuticals,7574,22.1,2342,-13.6,13433,66436.9,3900
449,KeyCorp,7561,3.1,2625,95.5,186346,20592.5,16974
450,Chipotle Mexican Grill,7547,26.1,653,83.5,6653,44347.4,97660
451,CMS Energy,7538,12.8,1353,79.2,28753,20292.2,8813
452,Arconic,7504,32.2,-397,0.0,6580,2690.7,13900
453,Taylor Morrison Home,7501,22.4,663,172.4,8728,3301.6,3000
454,American Financial Group,7462,-5.7,1995,172.5,28931,12367.8,6600
455,UGI,7447,13.5,1467,175.8,16723,7599.1,11300
456,Science Applications International,7394,4.8,277,32.5,5746,5166.1,25090
457,Avantor,7386,15.5,573,391.1,13897,20629.1,13500
458,Hanesbrands,7348,10.3,77,0.0,7071,5191.4,58000
459,Clorox,7341,9.2,710,-24.4,6334,17108.7,9000
460,KBR,7339,27.3,18,0.0,6199,7634.9,28000
461,TravelCenters of America,7337,51.4,59,0.0,3509,637.5,16540
462,Hertz Global Holdings,7336,39.5,366,0.0,19783,9508.9,23000
463,Analog Devices,7318,30.6,1390,13.9,52322,86441.2,24700
464,Securian Financial Group,7317,6.5,312,28.1,75169,3300.0,6941
465,Darden Restaurants,7196,-7.8,629,0.0,10656,16980.9,156883
466,Graphic Packaging Holding,7156,9.1,204,21.9,10457,6154.4,25000
467,NCR,7156,15.3,97,0.0,11641,5474.7,38000
468,Brighthouse Financial,7142,-16.0,-108,0.0,259840,3958.7,1500
469,PPL,7127,-6.3,-1480,-200.7,33223,21001.9,5607
470,Cintas,7116,0.4,1111,26.8,8237,43566.7,40000
471,Xerox Holdings,7038,0.2,-455,-337.0,13223,3123.3,23300
472,Rockwell Automation,6997,10.5,1358,32.7,10702,32538.4,24500
473,Citizens Financial Group,6986,-9.0,2319,119.4,188409,19135.7,17463
474,KLA,6919,19.2,2078,70.8,10271,55170.9,11425
475,Camping World Holdings,6914,26.9,279,127.6,4373,2664.6,12834
476,Ingredion,6894,15.1,117,-66.4,6999,5814.2,12000
477,Veritiv,6851,8.0,145,322.8,2438,2008.0,6100
478,Beacon Roofing Supply,6820,-1.8,243,0.0,5549,4175.9,6676
479,Diamondback Energy,6797,141.6,2182,0.0,22898,24320.0,870
480,Victoria's Secret,6785,0.0,646,0.0,4344,4330.4,24000
481,Academy Sports and Outdoors,6773,19.1,671,117.4,4585,3433.5,16508
482,Sanmina,6757,-2.9,269,92.5,4207,2569.0,33500
483,ON Semiconductor,6740,28.3,1010,331.1,9626,27078.7,31650
484,Commercial Metals,6730,22.9,413,47.7,4639,5056.7,11089
485,EnLink Midstream,6686,71.7,22,0.0,8483,4670.6,1073
486,Southwestern Energy,6667,188.9,-25,0.0,11848,7989.7,938
487,Equinix,6636,10.6,500,35.3,27919,67280.5,10944
488,Dillard's,6624,49.4,863,0.0,3246,4928.2,25350
489,Regions Financial,6605,-0.8,2521,130.4,162938,20860.9,19626
490,Yum Brands,6584,16.5,1575,74.2,5966,34252.9,25650
491,Landstar System,6540,58.1,382,98.6,2046,5600.0,1399
492,CF Industries Holdings,6538,58.5,917,189.3,12375,21551.3,3003
493,Northern Trust,6488,3.0,1545,27.8,183890,24215.1,21100
494,Robert Half International,6461,26.5,599,95.5,2952,12638.1,14600
495,Compass,6421,72.6,-494,0.0,1801,3358.8,4775
496,Hasbro,6420,17.5,429,92.7,10038,11383.6,6640
497,Roper Technologies,6416,16.1,1153,21.4,23714,49868.8,19300
498,ARKO,6413,88.1,59,348.9,2942,1133.9,11236
499,Frontier Communications,6411,-10.4,0,0.0,16481,6763.1,15640
500,Ameren,6394,10.4,990,13.7,35735,24198.7,9116
501,O-I Glass,6357,4.4,149,-40.2,8832,2058.0,24000
502,Chemours,6345,27.7,608,177.6,7550,5015.0,6400
503,Crown Castle International,6340,8.6,1096,3.8,39040,79937.3,5000
504,Agilent Technologies,6319,18.4,1210,68.3,10705,39714.0,17000
505,McCormick,6318,12.8,755,1.1,12906,26754.0,14000
506,Skechers U.S.A.,6310,36.8,742,652.3,6491,6360.4,8950
507,Watsco,6280,24.2,419,55.4,3086,11842.6,6875
508,Live Nation Entertainment,6268,236.8,-651,0.0,14402,26425.0,16200
509,Lululemon athletica,6257,42.1,975,65.6,4943,46717.8,29000
510,ABM Industries,6229,4.0,126,42000.0,4436,3078.7,124000
511,Post Holdings,6227,9.3,167,20737.5,12415,4284.4,10735
512,Moody's,6218,15.8,2214,24.5,14680,62548.1,13460
513,Select Medical Holdings,6205,12.2,402,55.3,7360,3208.6,43200
514,Alaska Air Group,6176,73.2,478,0.0,13951,7314.3,21691
515,Big Lots,6151,-0.8,178,-71.7,3927,988.1,23350
516,Amkor Technology,6138,21.5,643,90.2,6039,5313.0,30400
517,Sinclair Broadcast Group,6134,3.2,-414,0.0,12541,2008.1,11500
518,RPM International,6106,10.9,503,65.1,6253,10560.8,15490
519,M&T Bank,6106,-2.8,1859,37.4,155107,21875.0,17342
520,Sprouts Farmers Market,6100,-5.7,244,-15.1,2923,3546.8,31000
521,Huntington Bancshares,6080,16.1,1295,58.5,174064,21123.4,18442
522,CACI International,6044,5.7,457,42.3,6172,7051.2,22000
523,JetBlue Airways,6037,104.2,-182,0.0,13642,4786.9,17459
524,SVB Financial Group,6027,47.7,1833,51.7,211478,32901.0,6567
525,Fastenal,6011,6.4,925,7.7,4299,34187.9,18370
526,GameStop,6011,18.1,-381,0.0,3499,12716.6,22500
527,Knight-Swift Transportation Holdings,5998,28.3,743,81.3,10656,8386.0,27650
528,Airbnb,5992,77.4,-352,0.0,13709,110419.9,6132
529,Patterson,5912,7.7,156,0.0,2752,3160.0,7800
530,Penn National Gaming,5905,65.0,421,0.0,16872,7140.2,21973
531,ServiceNow,5896,30.5,230,94.1,10798,111378.0,16881
532,Nasdaq,5886,4.6,1187,27.2,20115,29298.2,5814
533,Brunswick,5846,34.5,593,59.2,5425,6197.3,18582
534,Resideo Technologies,5846,15.3,242,554.1,5853,3455.8,13300
535,Chesapeake Energy,5809,11.5,0,0.0,11009,11135.9,1300
536,Petco Health and Wellness,5807,18.0,164,0.0,6498,5930.2,28495
537,Kemper,5793,11.3,-121,-129.4,14917,3606.0,10300
538,Hilton Worldwide Holdings,5788,34.4,410,0.0,15441,42356.6,142000
539,Cerner,5765,4.7,556,-28.8,7434,27492.2,25150
540,Levi Strauss,5764,29.5,554,0.0,5900,7874.7,16600
541,Tapestry,5746,15.8,834,0.0,8382,9807.2,14250
542,NetApp,5744,6.1,730,-10.9,9360,18470.5,11000
543,KB Home,5725,36.9,565,90.6,5836,2858.1,2244
544,Continental Resources,5719,121.1,1661,0.0,18591,22342.4,1254
545,Intuitive Surgical,5710,31.0,1705,60.7,13555,108361.9,9793
546,Under Armour,5684,27.0,360,0.0,4991,7712.4,12300
547,MDU Resources Group,5681,2.7,378,-3.1,8910,5419.3,12826
548,Silgan Holdings,5677,15.3,359,16.3,7771,5104.3,15720
549,Ryerson Holding,5675,63.7,294,0.0,2366,1344.6,4000
550,Ingersoll Rand,5655,15.2,563,0.0,15155,20541.2,16000
551,Hologic,5632,49.1,1872,67.8,8920,19305.1,6705
552,Electronic Arts,5629,1.7,837,-72.5,13288,35577.4,11000
553,Zebra Technologies,5627,26.5,837,66.1,6215,21959.1,9800
554,Coty,5616,-16.6,-201,0.0,13691,7540.6,11430
555,Schneider National,5609,23.2,405,91.5,3937,4551.6,17050
556,Sonoco Products,5590,6.7,-86,-141.2,5073,6099.1,20500
557,Concentrix,5587,0.0,406,0.0,5046,8605.2,290000
558,Evergy,5587,13.7,880,42.3,28521,15512.7,4930
559,Cornerstone Building Brands,5583,20.9,666,0.0,5828,3088.7,21700
560,Coca-Cola Consolidated,5563,11.1,190,9.9,3446,4657.3,15050
561,Greif,5556,23.1,391,259.1,5816,3134.0,16000
562,Vulcan Materials,5552,14.3,671,14.8,13683,24412.7,11912
563,Ametek,5547,22.2,990,13.5,11898,30787.3,18500
564,Monster Beverage,5541,20.5,1378,-2.3,7805,42295.8,3775
565,Sealed Air,5534,12.9,507,0.8,6229,9920.7,16500
566,NOV,5524,-9.3,-250,0.0,9550,7700.2,27043
567,Las Vegas Sands,5505,52.4,-961,0.0,20059,29696.4,44600
568,Martin Marietta Materials,5493,16.1,703,-2.6,14393,24015.1,10000
569,Marathon Oil,5467,77.2,946,0.0,16994,18349.5,1531
570,Mattel,5458,19.1,903,613.1,6394,7823.3,36300
571,Microchip Technology,5438,3.1,349,-38.8,16479,41777.1,19500
572,Harley-Davidson,5336,31.6,650,49978.9,11051,6062.9,5800
573,Telephone & Data Systems,5329,2.0,156,-31.0,13493,2163.4,8800
574,ADT,5307,-0.1,-341,0.0,16894,6843.0,25000
575,First Republic Bank,5305,17.7,1478,38.9,181087,29113.6,6295
576,Warner Music Group,5301,18.8,304,0.0,7211,19485.7,5900
577,Pool,5296,34.5,651,77.4,3230,16967.1,5650
578,Old Dominion Freight Line,5256,30.9,1034,53.8,4822,34307.5,23663
579,Fortive,5255,13.4,608,-62.3,16466,21877.9,18000
580,MDC Holdings,5255,34.7,574,56.1,4964,2692.7,2080
581,NGL Energy Partners,5243,-73.5,-640,0.0,5947,288.6,997
582,Edwards Lifesciences,5233,19.3,1503,82.5,8503,73141.4,15700
583,Hanover Insurance Group,5228,8.3,419,16.7,14254,5317.9,4400
584,Syneos Health,5213,18.1,235,21.8,8237,8436.7,27443
585,Xylem,5195,6.5,427,68.1,8276,15354.7,16700
586,Church & Dwight,5190,6.0,828,5.3,7997,24119.1,5100
587,American Axle & Manufacturing,5157,9.5,6,0.0,5636,888.3,18000
588,Meritage Homes,5141,14.2,737,74.1,4808,2907.3,1773
589,Workday,5139,19.0,29,0.0,10499,60583.4,15200
590,Rush Enterprises,5126,8.2,241,110.1,3120,2788.5,7141
591,Yellow,5122,13.5,-109,0.0,2426,360.3,32000
592,Encompass Health,5122,10.3,412,45.0,6865,7071.1,35681
593,Simon Property Group,5117,11.1,2250,102.2,33777,43197.8,2850
594,Globe Life,5113,7.9,745,1.8,29768,9977.3,3222
595,Skyworks Solutions,5109,52.3,1498,83.9,8591,21547.5,10945
596,Endeavor Group Holdings,5078,46.0,-297,0.0,11435,20363.1,7700
597,Twitter,5078,36.6,-221,0.0,14060,30976.8,7500
598,Leggett & Platt,5073,18.5,402,62.5,5307,4659.0,20300
599,Western Union,5071,4.9,806,8.3,8824,7374.7,10500
600,PerkinElmer,5067,34.0,943,29.6,15001,22009.4,16700
601,SS&C Technologies Holdings,5051,8.2,800,28.0,17333,19235.1,24900
602,CUNA Mutual Group,5050,24.7,622,327.7,44345,5200.0,4100
603,FMC,5045,8.7,737,33.5,10581,16563.8,6400
604,Carlisle,5030,18.5,422,31.7,7247,12804.5,11250
605,American Eagle Outfitters,5011,33.3,420,0.0,3787,2836.6,24000
606,Core & Main,5004,37.4,166,348.6,4434,5948.8,4100
607,Vertiv Holdings,4998,14.4,120,0.0,6940,5263.9,24000
608,Broadridge Financial Solutions,4994,10.3,548,18.4,8120,18182.7,13704
609,Ingles Markets,4988,8.2,250,39.8,2018,1691.4,18460
610,TPG,4976,135.3,2181,198.1,8962,9304.9,1013
611,Insperity,4973,16.0,124,-10.2,1753,3849.8,3600
612,Howmet Aerospace,4972,-5.5,258,-1.1,10219,15055.4,19900
613,R.R. Donnelley & Sons,4964,-8.1,4,-96.2,3131,8100.0,32000
614,Keysight Technologies,4941,17.1,894,42.6,7781,28746.6,14300
615,Tempur Sealy International,4931,34.1,625,79.0,4323,4997.7,12000
616,Scotts Miracle-Gro,4925,19.2,513,32.3,4800,6834.6,8050
617,Equifax,4924,19.3,744,43.1,11041,29141.8,12700
618,Kelly Services,4910,8.7,156,0.0,2894,856.0,7400
619,NiSource,4900,4.7,585,0.0,24157,12891.2,7307
620,OneMain Holdings,4895,0.0,1314,80.0,22079,6042.8,8800
621,DoorDash,4888,69.4,-468,0.0,6809,40830.3,8600
622,Avient,4819,48.6,231,75.4,4997,4388.4,8700
623,Sanderson Farms,4800,34.7,455,1509.6,2345,4185.4,17662
624,TransDigm Group,4798,-7.4,680,-2.7,19315,36135.8,13300
625,Stifel Financial,4783,25.3,825,63.8,34050,7226.0,8600
626,JELD-WEN Holding,4772,12.7,169,84.3,3739,1826.0,24700
627,Ares Management,4771,122.8,409,168.7,21605,23821.1,2100
628,Elanco Animal Health,4765,45.6,-472,0.0,16483,12345.4,9800
629,Prologis,4759,7.2,2940,98.4,58486,119524.5,2053
630,Welltower,4742,3.0,336,-65.7,34910,43001.5,464
631,Darling Ingredients,4741,32.7,651,119.3,6134,12987.4,9900
632,Juniper Networks,4735,6.5,253,-2.0,8887,11986.6,10191
633,Gartner,4734,15.5,794,197.5,7416,24477.2,16600
634,Par Pacific Holdings,4710,50.7,-81,0.0,2570,783.3,1336
635,Hubbell,4704,12.4,400,13.8,5282,9959.6,18300
636,CME Group,4690,-4.0,2636,25.2,196780,85492.3,3480
637,Nexstar Media Group,4648,3.3,835,2.9,13265,7728.3,11817
638,Tutor Perini,4642,-12.7,92,-15.2,4725,551.8,7800
639,Antero Resources,4619,32.3,-187,0.0,13897,9608.0,519
640,Teledyne Technologies,4614,49.5,445,10.8,14430,22102.9,14500
641,Snap-on,4602,16.7,821,30.9,6760,10976.1,12800
642,Rent-A-Center,4584,62.9,135,-35.2,2993,1486.9,14290
643,Covetrus,4575,5.4,-54,0.0,3410,2319.3,4873
644,Crestwood Equity Partners,4569,102.7,-79,0.0,4446,2931.5,645
645,Louisiana-Pacific,4553,63.3,1377,176.0,2194,5344.1,4800
646,Urban Outfitters,4549,31.9,311,25030.7,3791,2421.4,16330
647,Penn Mutual Life Insurance,4546,22.8,523,82.2,44191,4000.0,3194
648,Amerco,4542,14.2,611,38.2,14652,11704.7,22052
649,TriNet Group,4540,12.5,338,24.3,3309,6482.5,2800
650,Sentry Insurance Group,4526,26.2,740,266.7,23881,7500.0,4064
651,Illumina,4526,39.7,762,16.2,15217,54855.8,10775
652,Iron Mountain,4492,8.3,450,31.4,14450,16059.5,25000
653,LCI Industries,4473,60.0,288,81.6,3288,2624.5,13900
654,Marvell Technology,4462,50.3,-421,0.0,22109,60795.7,6712
655,PennyMac Financial Services,4450,-1.9,1004,-39.1,18777,2948.5,7208
656,Digital Realty Trust,4428,13.4,1709,379.6,36370,40337.7,3030
657,TreeHouse Foods,4406,-3.6,-13,-190.6,5207,1800.0,10000
658,Ralph Lauren,4401,-28.6,-121,-131.5,7888,8073.2,16200
659,Mattress Firm Group,4393,34.9,-165,-231.4,3539,1634.0,8900
660,American National Group,4392,15.8,699,49.6,31320,5084.1,4545
661,Autodesk,4386,15.7,497,-58.9,8607,46580.0,12600
662,Domino's Pizza,4357,5.8,511,3.9,1672,14665.9,10450
663,ASGN,4334,9.7,410,104.6,3503,6022.2,3900
664,Flowers Foods,4331,-1.3,206,35.4,3253,5438.6,8900
665,BlueLinx Holdings,4277,38.1,296,266.1,1318,699.5,2045
666,Palo Alto Networks,4256,24.9,-499,0.0,10242,61307.5,10473
667,Maximus,4255,22.9,291,35.8,4119,4641.1,35800
668,Dentsply Sirona,4251,27.2,421,0.0,9220,10708.0,15000
669,Hub Group,4232,21.1,172,133.1,2437,2678.5,4700
670,Voya Financial,4230,-53.7,2126,0.0,171262,7042.2,5970
671,Bread Financial Holdings,4230,-6.4,801,274.8,21746,2804.6,6000
672,Weis Markets,4224,2.7,109,-8.5,1911,1921.1,24000
673,Century Communities,4216,33.4,499,141.8,3497,1783.2,1600
674,Synopsys,4204,14.1,758,14.0,8752,51023.2,16361
675,Brink's,4200,13.8,105,557.5,5567,3234.4,73350
676,Lennox International,4194,15.4,464,30.2,2172,9447.2,11000
677,Service Corp. International,4143,18.0,803,55.6,15691,10581.3,20840
678,Conduent,4140,-0.6,-28,0.0,4036,1111.6,60000
679,Timken,4133,17.6,369,29.7,5171,4539.6,18029
680,Domtar,4132,-11.1,-27,0.0,4854,2790.0,6100
681,Bloomin' Brands,4122,30.0,216,0.0,3294,1966.6,82000
682,CNO Financial Group,4122,7.9,441,46.1,36204,2945.7,3350
683,Snap,4117,64.2,-488,0.0,7536,58458.4,5661
684,Zoom Video Communications,4100,54.6,1376,104.6,7551,35066.3,6787
685,Patrick Industries,4078,64.0,225,131.7,2651,1408.2,11000
686,Paychex,4057,0.4,1098,-0.1,9227,49268.0,15000
687,Atlas Air Worldwide Holdings,4031,25.5,493,36.9,6443,2523.4,4056
688,Bright Health Group,4029,233.7,-1185,0.0,3598,1213.5,3203
689,Peloton Interactive,4022,120.3,-189,0.0,4486,8760.9,8662
690,Country Financial,4016,65.3,419,47.4,16327,1991.0,3149
691,Qorvo,4015,24.0,734,119.4,7222,13456.4,8750
692,Catalent,3998,29.2,585,165.1,9112,19862.7,17300
693,Mercury General,3993,5.5,248,-33.8,6773,3045.4,4300
694,AMN Healthcare Services,3984,66.4,327,363.3,3132,4796.1,3800
695,Tri Pointe Homes,3982,22.1,469,66.3,4336,2160.1,1390
696,ArcBest,3980,35.4,214,200.3,2113,1979.7,14000
697,Toro,3960,17.2,410,24.3,2936,8936.9,10982
698,Spirit AeroSystems Holdings,3953,16.1,-541,0.0,7737,5130.6,16100
699,Align Technology,3953,59.9,772,-56.5,5942,34354.8,22540
700,loanDepot,3943,-11.3,114,-94.4,11812,1290.3,11307
701,APi Group,3940,9.8,47,0.0,5159,4891.1,13300
702,American Water Works,3930,4.1,1263,78.1,26075,30085.5,6400
703,Matson,3925,64.7,927,380.3,3693,4927.5,4259
704,Diebold Nixdorf,3905,0.1,-79,0.0,3507,531.2,22000
705,Marriott Vacations Worldwide,3890,34.8,49,0.0,9613,6620.0,20300
706,Terex,3887,26.1,221,0.0,2864,2485.5,8600
707,Sally Beauty Holdings,3875,10.3,240,111.8,2847,1720.5,29000
708,Enovis,3854,25.5,72,68.1,8515,6419.3,16200
709,IAC/InterActiveCorp,3845,26.2,598,121.5,12300,9001.4,13200
710,Meritor,3833,25.9,199,-18.8,2938,2519.4,9600
711,Ventas,3828,0.9,49,-88.8,24718,24676.2,434
712,GoDaddy,3816,15.0,242,0.0,7417,14018.7,6611
713,Regal Rexnord,3810,31.1,210,10.9,10282,10002.1,30000
714,Puget Energy,3806,14.4,261,42.8,15872,1000.0,3185
715,Clean Harbors,3806,21.0,203,50.7,5654,6073.8,18300
716,Pinnacle West Capital,3804,6.0,619,12.4,22003,8820.0,5872
717,eXp World Holdings,3771,109.7,81,160.9,414,3149.3,1669
718,Mueller Industries,3769,57.2,469,235.9,1729,3100.4,5337
719,Wynn Resorts,3764,79.6,-756,0.0,12531,9243.3,26950
720,RH,3759,32.0,689,153.3,5541,7079.0,6100
721,EPAM Systems,3758,41.3,482,47.2,3523,16870.7,58824
722,M/I Homes,3746,23.0,397,65.4,3240,1262.2,1657
723,Generac Holdings,3737,50.4,551,57.0,4878,18960.3,9248
724,Mettler-Toledo International,3718,20.5,769,27.6,3327,31220.3,16700
725,Abercrombie & Fitch,3713,18.8,263,0.0,2940,1619.5,19250
726,Teradyne,3703,18.6,1015,29.4,3809,19202.6,5900
727,American Equity Investment Life Holding,3690,52.2,474,-29.4,78349,3869.2,850
728,Southwest Gas Holdings,3681,11.6,201,-13.6,12765,5233.6,12720
729,Pitney Bowes,3674,3.4,-1,0.0,4959,900.1,11500
730,Lamb Weston Holdings,3671,-3.2,318,-13.1,4209,8699.1,7800
731,Alliant Energy,3669,7.4,659,7.3,18553,15670.6,3313
732,Resolute Forest Products,3664,30.9,307,2970.0,3538,991.7,6900
733,Parsons,3661,-6.6,64,-35.0,3831,4012.0,15500
734,Trimble,3659,16.2,493,26.4,7100,18122.7,11931
735,OGE Energy,3654,72.2,737,0.0,12606,8164.2,2185
736,Garrett Motion,3633,19.7,0,0.0,2706,463.9,7600
737,Winnebago Industries,3630,54.1,282,358.8,2063,1770.9,6532
738,Ciena,3621,2.5,500,38.4,4865,9223.4,7205
739,PriceSmart,3620,8.7,98,25.4,1706,2434.1,10400
740,Advantage Solutions,3602,14.2,55,0.0,5854,2029.6,45000
741,H&R Block,3589,35.9,684,0.0,4014,4284.6,38000
742,iHeartMedia,3558,20.7,-159,0.0,8881,2728.1,9990
743,Super Micro Computer,3557,6.5,112,32.7,2242,1963.0,4155
744,Flowserve,3541,-5.0,126,-3.4,4750,4681.4,16000
745,Charles River Laboratories International,3540,21.1,391,7.3,7024,14425.4,19300
746,A.O. Smith,3539,22.2,487,41.2,3474,10032.2,13700
747,New Residential Investment,3533,512.8,772,0.0,39742,5125.0,12296
748,Medical Mutual of Ohio,3515,-0.3,78,-22.0,2646,2000.0,2834
749,Granite Construction,3502,-1.7,10,0.0,2495,1504.7,2600
750,Valmont Industries,3502,20.9,196,39.0,3447,5083.4,11041
751,Sprague Resources,3498,49.8,-69,-303.8,1418,433.7,757
752,Primoris Services,3498,0.2,116,10.1,2543,1269.8,10810
753,Cboe Global Markets,3495,2.0,529,13.0,6815,12148.2,1196
754,Carter's,3486,15.3,340,209.7,3202,3763.4,15900
755,TopBuild,3486,28.3,324,31.2,4259,5987.1,13006
756,SiteOne Landscape Supply,3476,28.5,238,96.5,2116,7255.5,5475
757,Texas Roadhouse,3464,44.4,245,684.8,2512,5787.8,73300
758,Akamai Technologies,3461,8.2,652,17.0,8139,19210.0,8700
759,Acuity Brands,3461,4.0,306,23.4,3575,6628.9,13000
760,Brown-Forman,3461,2.9,903,9.2,6522,31376.6,4700
761,Navient,3454,-7.3,717,74.0,80605,2592.3,5263
762,Coterra Energy,3449,135.2,1158,477.5,19900,21872.1,936
763,Option Care Health,3439,13.4,140,0.0,2791,5139.0,6334
764,Floor & Decor Holdings,3434,41.5,283,45.3,3731,8573.8,9276
765,Public Storage,3416,17.2,1953,43.9,17381,68438.2,5800
766,Cabot,3409,30.4,250,0.0,3306,3871.1,4500
767,Crane Holdings,3408,16.0,435,140.6,4487,6158.9,11000
768,Atmos Energy,3408,20.8,666,10.7,19609,16182.8,4684
769,Selective Insurance Group,3379,15.6,404,63.9,10461,5391.5,2440
770,Take-Two Interactive Software,3373,9.2,589,45.6,6028,17744.1,6495
771,Boyd Gaming,3370,54.7,464,0.0,6224,7234.0,15114
772,Plexus,3369,-0.6,139,18.2,2462,2298.6,19200
773,ScanSource,3364,-6.8,11,0.0,1672,890.8,2200
774,Franchise Group,3363,56.2,364,1351.4,3913,1669.6,11895
775,NLV Financial,3351,30.2,392,102.5,41942,3000.0,1157
776,CrossAmerica Partners,3351,87.1,22,-79.8,1270,826.5,2218
777,Mr. Cooper Group,3344,22.4,1454,376.7,14204,3369.4,8200
778,Fortinet,3342,28.8,607,24.2,5919,54957.1,10195
779,Brinker International,3338,8.4,132,439.3,2275,1701.9,59491
780,Albemarle,3328,6.4,124,-67.1,10974,25899.4,6000
781,Peabody Energy,3318,15.2,360,0.0,4950,3391.5,4900
782,Light & Wonder,3310,21.5,371,0.0,7883,5679.7,5600
783,Evercore,3307,44.7,740,111.1,3803,4275.1,1940
784,Stewart Information Services,3306,44.5,323,108.7,2813,1635.1,7300
785,Central Garden & Pet,3304,22.6,152,25.7,3117,2286.5,6750
786,GMS,3299,1.8,106,351.5,2484,2142.1,5843
787,H.B. Fuller,3278,17.5,161,30.5,4275,3505.2,6500
788,Middleby,3251,29.3,489,135.7,6384,8961.1,10624
789,Renewable Energy Group,3244,51.8,214,74.1,2559,3056.2,1196
790,MSC Industrial Direct,3243,1.6,217,-13.6,2462,4758.3,6472
791,Vishay Intertechnology,3241,29.5,298,142.4,3543,2840.1,22800
792,Applied Industrial Technologies,3236,-0.3,145,502.1,2272,3947.9,5947
793,Lincoln Electric Holdings,3234,21.8,277,34.1,2592,8079.1,11000
794,First Horizon,3234,-4.6,999,18.2,89092,12542.9,7676
795,Spirit Airlines,3231,78.5,-473,0.0,8540,2375.4,9823
796,AptarGroup,3227,10.2,244,14.0,4141,7702.9,13000
797,Citrix Systems,3217,-0.6,308,-39.0,6976,12704.6,9700
798,IDEXX Laboratories,3215,18.8,745,28.0,2437,46089.3,10350
799,Tetra Tech,3214,7.3,233,33.9,2577,8906.7,21000
