Rank,Company_Name,Revenue_$M,Revenue_change%,Profits_$M,Profits_change%,Assets_$M,Market_Value_$M,Employees
92,Thermo Fisher Scientific,39211,21.7,7725,21.2,95123,231057.4,129000
93,Coca-Cola,38655,17.1,9771,26.1,94354,268769.7,79000
94,General Dynamics,38469,1.4,3257,2.8,50073,67081.0,103100
95,CHS,38448,35.4,554,31.1,17576,366.93,9941
96,USAA,37470,3.2,3300,-15.5,210677,27400.0,37335
97,Northwestern Mutual,36751,8.8,978,130.1,334654,558000.0,7585
98,Nucor,36484,81.2,6828,846.3,25823,39954.0,28800
99,Exelon,36347,10.0,1706,-13.1,133013,46683.9,31518
100,Massachusetts Mutual Life Insurance,35900,51.7,319,0.0,383292,39000.0,10052
101,Northrop Grumman,35667,-3.1,7005,119.7,42579,69811.9,88000
102,3M,35355,9.9,5921,10.0,47072,84738.3,95000
103,Travelers,34816,8.9,3662,35.8,120466,44129.4,30492
104,Arrow Electronics,34477,20.2,1108,89.6,19536,7951.3,20700
105,Honeywell International,34392,5.4,5542,16.0,64470,133381.0,99000
106,Dollar General,34220,1.4,2399,-9.6,26327,50953.0,163000
107,Qualcomm,33566,42.6,9043,74.0,41240,172228.1,45000
108,Capital One Financial,32033,1.2,12390,356.5,432381,53260.4,50767
109,TD Synnex,31614,28.1,395,-25.3,27666,9853.6,27000
110,Philip Morris International,31405,9.4,9109,13.1,41290,145614.7,69600
111,World Fuel Services,31337,53.9,74,-32.8,5942,1715.5,4414
112,Performance Food Group,30399,21.2,41,0.0,7846,7880.9,22885
113,Delta Air Lines,29899,74.9,280,0.0,72459,25322.0,83000
114,American Airlines Group,29882,72.4,-1993,0.0,66467,11847.2,123400
115,Netflix,29698,18.8,5116,85.3,44585,166304.1,11300
116,Paramount Global,29579,13.0,4543,87.6,58620,24628.8,25115
117,US Foods Holding,29487,28.8,164,0.0,12521,8392.3,28000
118,Danaher,29453,32.2,6433,76.4,83184,209993.4,79000
119,Jabil,29285,7.4,696,1191.0,16654,8857.3,238000
120,Starbucks,29061,23.6,4199,352.4,31393,104642.8,383000
121,Mondelez International,28720,8.0,4300,21.0,67092,87159.2,79000
122,Eli Lilly,28318,15.4,5582,-9.9,48806,272723.6,35238
123,Hewlett Packard Enterprise,27784,3.0,3427,0.0,57699,21725.3,60400
124,D.R. Horton,27774,36.7,4176,75.9,24016,26403.2,11788
125,Molina Healthcare,27771,43.0,659,-2.1,12209,19572.9,14000
126,CBRE Group,27746,16.5,1837,144.2,22074,30414.2,105000
127,Micron Technology,27705,29.3,5861,118.1,58849,86977.2,43000
128,Broadcom,27450,14.9,6736,127.6,75570,257086.5,20000
129,Gilead Sciences,27305,10.6,6225,4961.0,67952,74656.5,14400
130,PBF Energy,27253,80.3,231,0.0,11641,2932.6,3418
131,Lennar,27131,20.6,4430,79.7,33208,23413.0,10753
132,United Natural Foods,26992,0.9,149,0.0,7525,2409.3,28300
133,NRG Energy,26989,196.8,2187,328.8,23182,9289.0,6635
134,Nvidia,26914,61.4,9752,125.1,44187,684878.6,22473
135,Occidental Petroleum,26772,60.5,2322,0.0,75036,53160.2,11678
136,Salesforce,26492,24.7,1444,-64.5,95209,210196.8,73541
137,Dollar Tree,26321,3.2,1328,-1.0,21722,36051.4,136226
138,KKR,26141,171.5,4667,133.0,264285,51542.9,3238
139,Kraft Heinz,26042,-0.5,1012,184.3,93394,48248.6,36000
140,Amgen,25979,2.2,5893,-18.9,61165,134700.8,24200
141,AutoNation,25844,26.7,1373,259.8,8944,6111.4,22200
142,Penske Automotive Group,25555,25.0,1188,118.5,13465,7196.7,24797
143,PayPal Holdings,25371,18.3,4169,-0.8,75803,134732.8,30900
144,Macy's,25292,39.8,1430,0.0,17590,7123.2,88857
145,Duke Energy,24677,5.2,3908,183.8,169587,85967.0,27605
146,United Airlines Holdings,24634,60.4,-1964,0.0,68175,15049.7,84100
147,Visa,24105,10.3,12311,13.3,82896,480022.5,21500
148,Rite Aid,24043,9.6,-91,0.0,9335,488.1,50000
149,Cummins,24021,21.3,2131,19.1,23710,29140.9,59900
150,U.S. Bancorp,23714,-6.0,7963,60.6,573284,78929.8,68796
151,Paccar,23522,25.6,1852,42.6,29302,30619.7,28500
152,McDonald's,23223,20.9,7545,59.5,53854,183873.6,200000
153,Southern,23113,13.4,2393,-23.3,127534,76877.0,27164
154,C.H. Robinson Worldwide,23102,42.5,844,66.7,7028,13855.8,16877
155,Truist Financial,23064,-5.6,6440,43.7,541241,75353.9,51462
156,Applied Materials,23063,34.1,5888,62.7,25825,116431.4,27000
157,Freeport-McMoRan,22845,60.9,4306,618.9,48022,72360.8,24700
158,Lithia Motors,22832,74.0,1060,125.4,11147,8909.8,21150
159,Blackstone,22577,270.0,5857,460.3,41196,88907.2,3795
160,Hartford Financial Services Group,22390,9.1,2365,36.2,76578,23815.6,18100
161,Aflac,22106,-0.2,4325,-9.5,157542,41812.8,12447
162,Whirlpool,21985,13.0,1783,64.9,20285,10101.2,69000
163,Union Pacific,21804,11.6,6523,21.9,63525,171681.6,32124
164,International Paper,21780,5.8,1752,263.5,25243,17301.1,38200
165,Altria Group,21111,1.3,2475,-44.6,39523,94951.7,6000
166,CDW,20821,12.7,989,25.4,13199,24140.2,13900
167,ManpowerGroup,20724,15.1,382,1506.7,9829,5025.6,30000
